"MIR155HG"	15.9049796115446
"TBX21"	12.9152994922466
"FPR1"	12.8615116143101
"CCL3"	12.8615116143101
"LYPD5"	12.8615116143101
"CLEC12A"	12.8142409263877
"CD244"	12.5928457089202
"PYHIN1"	12.494932878986
"SH2D2A"	12.4509464078981
"FCRL6"	12.4490306091793
"IL12RB1"	12.1414911156751
"CXCR2P1"	12.1028629761371
"TLR8"	12.1028629761371
"CCL4"	12.0457533959134
"TNFSF14"	11.9270390796883
"IL18RAP"	11.9198698841249
"CD180"	11.9198698841249
"FCGR1BP"	11.8522571066397
"FCGR3B"	11.7759757902161
"GPR141"	11.7685030719489
"C10orf105"	11.6993796566938
"CD300A"	11.6758425766815
"THEMIS"	11.6758425766815
"EOMES"	11.6501229770795
"SH2D1A"	11.5285339486904
"SLAMF7"	11.5285339486904
"EGR2"	11.5168503114808
"F13A1"	11.4388462483108
"TMEM154"	11.4388462483108
"CD160"	11.4388462483108
"CD300C"	11.2665037430424
"CRTAM"	11.2598668330856
"IGSF6"	11.2163363044255
"GZMH"	11.2008150294
"KLRB1"	11.1654780538138
"SH2D1B"	10.9729435147562
"NCF1C"	10.9479416116735
"APOL6"	10.877750866746
"FASLG"	10.6696950267277
"GBP5"	10.6374213672025
"CALHM6"	10.6374213672025
"IRF1"	10.6217783174847
"PTPN22"	10.6217783174847
"AIM2"	10.6217550471589
"FCGR1CP"	10.6091232289911
"NCF1B"	10.5804014253206
"DAPP1"	10.553769277166
"SLAMF1"	10.5052917522617
"LOC606724"	10.5052917522617
"WARS1"	10.5052917522617
"FCRL3"	10.5052917522617
"CTSS"	10.4806860479987
"DHRS9"	10.476914018164
"GRAP2"	10.4752644432949
"TNF"	10.4499823169532
"NR4A3"	10.4499823169532
"CD8B"	10.4499823169532
"TASL"	10.4499823169532
"TNFRSF9"	10.4499823169532
"CYSLTR1"	10.4146914435877
"ZBP1"	10.4146914435877
"CEACAM21"	10.4146914435877
"CXCL11"	10.4146914435877
"GBP1P1"	10.3993939952419
"CD300LF"	10.3623108109673
"HLA-DRA"	10.2983732473305
"SIGLEC10"	10.2134244530356
"GFI1"	10.2066563346841
"GBP1"	10.1967328190411
"LAX1"	10.1967328190411
"CGAS"	10.1841970306322
"CD3G"	10.1347914677648
"PATL2"	10.1066262250031
"KLRK1"	10.0870670686499
"KCNA3"	10.0870670686499
"RELT"	10.0784441583186
"IDO1"	10.0277486089355
"TRDC"	9.96269261842913
"ST8SIA4"	9.92897551863763
"FPR3"	9.92314129554997
"TARP"	9.91010828165619
"BTK"	9.90333576140577
"PLEK"	9.90333576140577
"CCL4L2"	9.88482905707433
"CASP1"	9.87515667649013
"CD69"	9.85191301742706
"CD86"	9.84937847749066
"TNFAIP8L2"	9.82477546688553
"KLRC4-KLRK1"	9.8228336995757
"IL1B"	9.80239635087518
"THEMIS2"	9.76985011351631
"PRR11"	9.69320632247413
"GPR174"	9.67805639831009
"AATBC"	9.67805639831009
"BTN3A2"	9.66343583547161
"C5orf58"	9.66163585939458
"DOK2"	9.64738368811576
"TAGAP"	9.64125983756787
"GBP2"	9.61417259120636
"HCST"	9.61379095010265
"FCGR3A"	9.54931025128351
"LCP2"	9.54931025128351
"IL21R"	9.50645978754284
"PRDM1"	9.47596622674276
"LILRB4"	9.47324156890119
"RGS18"	9.47003372224923
"RHOH"	9.45762503646307
"NCF1"	9.45762503646307
"RAP2B"	9.45762503646307
"GPR65"	9.43278917162998
"CD247"	9.41886875387983
"MEFV"	9.41886875387983
"ARL11"	9.36814743177065
"GPR171"	9.35587134170938
"NFAM1"	9.33765937269446
"TRG-AS1"	9.3074416622196
"VAV1"	9.3038847538982
"CCL13"	9.3038847538982
"PRF1"	9.30099817947882
"MS4A7"	9.30099817947882
"P2RY10"	9.30099817947882
"APOBEC3G"	9.27425245756884
"IL12RB2"	9.26583569735285
"NKG7"	9.23644973504686
"PIK3R6"	9.21234202696541
"FMNL1-AS1"	9.21234202696541
"B2M"	9.20964315994536
"PLEKHO2"	9.19999178142174
"PLAC8"	9.19183284446762
"PDCD1LG2"	9.18340752773079
"CST7"	9.18340752773079
"LY86"	9.17937195673909
"S1PR5"	9.17937195673909
"SNX20"	9.17366572756987
"TNFSF13B"	9.16575780631027
"STX11"	9.16575780631027
"EMB"	9.15617762501524
"CXCR6"	9.14166838711576
"MIR7847"	9.14085477572199
"LAPTM5"	9.13213240317574
"SLAMF6"	9.13213240317574
"PTAFR"	9.13138614107874
"FERMT3"	9.11935238662857
"CD8A"	9.11403807864011
"LCP1"	9.10760938607532
"NCKAP1L"	9.09836078423124
"SCIMP"	9.09836078423124
"RASGRP4"	9.08953773933824
"APOL1"	9.07267914014675
"PCED1B-AS1"	9.07267914014675
"PVT1"	9.06737450912189
"GZMM"	9.06737450912189
"HLA-DMA"	9.06013474944719
"LILRB1"	9.06001320608623
"ICAM1"	9.04626291695294
"LY96"	9.01008427312481
"POU2F2"	9.00894583606801
"PSMB9"	8.99808294792748
"SASH3"	8.99194197539997
"NOD2"	8.99194197539997
"BMAL2"	8.98883956912623
"PTPRN2-AS1"	8.98616384107504
"ISG20"	8.98011653484515
"ITGAL"	8.97300200531779
"MYO1G"	8.96569030821357
"IL7"	8.95260383889951
"BCL2A1"	8.95258702244664
"WIPF1"	8.94446595006928
"AOAH"	8.93129794855586
"DOCK2"	8.91103379619523
"TIFAB"	8.91055341497966
"SIT1"	8.90882017741928
"CD96"	8.90731543898719
"MCUB"	8.89881912934619
"HCK"	8.89257289843216
"BTN3A3"	8.88535209674757
