"","logFC","logCPM","F","PValue","FDR","neglogFC","DE","top30"
"XPO4",-0.447592232858744,4.75465099861958,11.8505018550571,0.00157549759398657,0.00698776830277467,0.447592232858744,"No",NA
"TDRKH",-0.491149562013733,3.17911768746869,11.8972218744714,0.00157726958377169,0.00699393535077861,0.491149562013733,"No",NA
"NDUFA3",0.50822807886849,5.53413354108992,11.837908666815,0.00158064679410714,0.00700721557020024,-0.50822807886849,"No",NA
"RYR3",-0.604731525280847,2.38306403080103,11.7188270582271,0.00158339489765528,0.00701770112884887,0.604731525280847,"UP",NA
"IRAK1",-0.26986368370686,6.05367629843951,11.8286753440409,0.00158577248431402,0.00702653986220941,0.26986368370686,"No",NA
"ALDH1A3-AS1",-1.35947195812001,2.95555814212608,11.8159283146756,0.00158652850325558,0.00702819091183618,1.35947195812001,"UP",NA
"MAPRE2",-0.468984179530155,5.29606514528896,11.8254961074768,0.00158889482049331,0.00703697292932178,0.468984179530155,"No",NA
"ALKBH8",-0.466086543260698,3.39238761518193,11.8698140184471,0.0015896296234086,0.00703852672142584,0.466086543260698,"No",NA
"KLHL11",-0.442657271608057,3.97452155860826,11.8429464519728,0.00159017082454276,0.00703922274443212,0.442657271608057,"No",NA
"ZNF263",-0.300440730931384,4.72713502311255,11.8130900748089,0.0015989484776287,0.00707637000082366,0.300440730931384,"No",NA
"MCU",-0.395702115478921,4.44264935109261,11.8155002295804,0.00159994314417431,0.00707906294372661,0.395702115478921,"No",NA
"RND3",-0.816280191800151,4.30390633527123,11.8179650191385,0.00160164324130209,0.00708370199696256,0.816280191800151,"UP",NA
"ZNF333",-0.700884826394612,3.95020554890701,11.8273634848108,0.00160176448515683,0.00708370199696256,0.700884826394612,"UP",NA
"ZNF20",-0.312910180008657,2.33533644605098,11.6901453357036,0.00160237650922894,0.00708469941887983,0.312910180008657,"No",NA
"E2F6",-0.342139408778311,3.5557782977767,11.8396556705487,0.00160329824766909,0.00708706539137259,0.342139408778311,"No",NA
"RBM15",-0.433822894378437,2.9047550711778,11.8511578913466,0.00160386501481013,0.00708786152036752,0.433822894378437,"No",NA
"DNAJC4",0.269590645087042,5.15035772561852,11.8006920799248,0.001604838457199,0.00709045402721495,-0.269590645087042,"No",NA
"LOC102723996",-0.428522132833579,3.83575755590036,11.8232727569958,0.00160579069718502,0.00709295163134905,0.428522132833579,"No",NA
"LOC100506321",-0.406909378668169,2.36240502317974,11.6921664000984,0.0016067657670721,0.00709554884996356,0.406909378668169,"No",NA
"NUP133",-0.377581567060162,5.21215953108189,11.7899627578768,0.00161153582662089,0.00711393150505266,0.377581567060162,"No",NA
"CNOT6L",-0.545327780748705,5.15074911097004,11.7901945818518,0.0016117046282518,0.00711393150505266,0.545327780748705,"No",NA
"C1orf54",-0.458758133149051,3.2412647703519,11.8381536910167,0.00161335376217921,0.00711949634436859,0.458758133149051,"No",NA
"MRE11",-0.554427069662289,4.38551703257835,11.7842113201916,0.0016208980935817,0.00715106689613624,0.554427069662289,"No",NA
"DIPK2B",-0.953395625392765,3.73444830196885,11.8025635266276,0.00162447621414449,0.00716424703473131,0.953395625392765,"UP",NA
"RASIP1",-0.561867441187777,4.05764895696022,11.7865916050557,0.00162466722619486,0.00716424703473131,0.561867441187777,"No",NA
"NCOA4",-0.29342442714495,7.9657077480823,11.7653067977584,0.00162555603397766,0.00716644243839453,0.29342442714495,"No",NA
"LDLR",-0.707141370742197,4.34227517231518,11.7776998066886,0.00162622054339108,0.00716764818006777,0.707141370742197,"UP",NA
"PGGHG",-1.24658457107368,6.07567838444034,11.7615067290396,0.00162874724177382,0.00717705905984518,1.24658457107368,"UP",NA
"LOC102724916",0.422029419766513,1.87460645947331,11.1938669216596,0.00162929554950028,0.00717774975195619,-0.422029419766513,"No",NA
"LOC114841035",0.384629332807357,5.26672130269578,11.7604702960627,0.00163030070687431,0.00718045224836931,-0.384629332807357,"No",NA
"MIDEAS",-0.77796634562045,5.23822216350394,11.7545082036512,0.00163458583825522,0.00719759620491386,0.77796634562045,"UP",NA
"RETREG3",-0.28575491581452,5.67597510191075,11.745347652253,0.00163930426282298,0.00721513979174659,0.28575491581452,"No",NA
"ZNF284",-0.571496114944798,2.78470690061492,11.7756595221743,0.00163963024834824,0.00721513979174659,0.571496114944798,"No",NA
"SERPINA4",0.883845241826858,3.09525997603483,11.7853204996443,0.00163975082496407,0.00721513979174659,-0.883845241826858,"DOWN",NA
"INPP5B",-0.31959790321927,5.12435322323364,11.7448416894085,0.00164080859990975,0.00721806154186358,0.31959790321927,"No",NA
"COX7B",0.374444959800701,6.68602246637849,11.7271058957324,0.00165048778210881,0.00725889912040227,-0.374444959800701,"No",NA
"SLC36A1",-0.424701116218619,4.21544101757623,11.7391074641929,0.00165204053984346,0.0072638549530172,0.424701116218619,"No",NA
"SAE1",-0.32486391782511,5.21755198254896,11.7266281093716,0.00165240713294865,0.0072638549530172,0.32486391782511,"No",NA
"HRG",0.75200600750691,5.19250984306727,11.7244682542094,0.00165427126260734,0.00727030604527817,-0.75200600750691,"DOWN",NA
"CNIH1",-0.236639230428769,5.89083826202782,11.7082019470267,0.00166331683048742,0.00730830796252753,0.236639230428769,"No",NA
"ARCN1",-0.371376820692096,6.66399888063095,11.7047920084464,0.0016651538641366,0.00731462628408532,0.371376820692096,"No",NA
"GSPT1",-0.407832620513524,6.38245186317619,11.7024105223896,0.00166684262900945,0.00732007595908612,0.407832620513524,"No",NA
"TSTD1",0.382847340399835,5.00121314934136,11.7047979804495,0.00166754946865427,0.00732007595908612,-0.382847340399835,"No",NA
"ASF1A",-0.37086932465089,4.20103149508716,11.715185324596,0.00166784297693131,0.00732007595908612,0.37086932465089,"No",NA
"TRMT1L",-0.342549468448441,4.90548172356908,11.7036827666525,0.0016686866125908,0.00732007595908612,0.342549468448441,"No",NA
"EIF3E",-0.344074237244516,7.1697152178079,11.6991876657405,0.00166875717572895,0.00732007595908612,0.344074237244516,"No",NA
"UBE2J2",-0.256325015285716,4.95401066036422,11.702876406946,0.0016689397423284,0.00732007595908612,0.256325015285716,"No",NA
"FSTL1",-0.712961961656983,7.05658449245173,11.6986113114908,0.00166918976100485,0.00732007595908612,0.712961961656983,"UP",NA
"PLEKHN1",-0.850271513289356,1.66064890237673,10.793606629813,0.00167761219451985,0.00735525212574583,0.850271513289356,"UP",NA
"NUP43",-0.506261728667276,5.23020662511822,11.6781891214749,0.00168451681791585,0.00738147948571554,0.506261728667276,"No",NA
"TOR4A",-0.824541693344311,3.93733784489089,11.7013429375054,0.00168457215173291,0.00738147948571554,0.824541693344311,"UP",NA
"PPIL4",-0.418782273421327,4.47339004667148,11.6844264236383,0.00168480225673634,0.00738147948571554,0.418782273421327,"No",NA
"ZNF830",-0.274099276419068,3.79551697506146,11.7015075119897,0.00168540217567076,0.00738155992519002,0.274099276419068,"No",NA
"SEMA3F",-0.591984504200252,5.54061692205537,11.6750887682202,0.0016859234776848,0.00738155992519002,0.591984504200252,"No",NA
"GBGT1",-0.536608103792383,2.99345090368704,11.7254482958388,0.00168602866219904,0.00738155992519002,0.536608103792383,"No",NA
"SDC4",-0.22623514027689,7.92814886835353,11.6722774214858,0.00168662066796583,0.0073823886018342,0.22623514027689,"No",NA
"YIPF5",-0.287061738549146,5.24677388373553,11.6728211306878,0.00168794049463419,0.00738609735305694,0.287061738549146,"No",NA
"NPY1R",-1.05757698530253,6.25887569088233,11.6705691741387,0.00168827384808841,0.00738609735305694,1.05757698530253,"UP",NA
"SEL1L",-0.504126032422456,6.52869432018916,11.6681708654706,0.00168962727884149,0.00739025474789866,0.504126032422456,"No",NA
"ZSCAN32",-0.328932531646092,3.83967963157835,11.6905183011904,0.00169170340669965,0.00739757040749316,0.328932531646092,"No",NA
"NDUFC2-KCTD14",0.274580610860401,5.15998309555043,11.6643601156522,0.00169385678348996,0.00740522029529081,-0.274580610860401,"No",NA
"NAV1",-0.857575660810613,4.39233875501352,11.6733451668448,0.00169476822472212,0.00740743832317148,0.857575660810613,"UP",NA
"SMIM6",0.739001807408121,2.94421605965189,11.6938100590307,0.00169867038013537,0.00742272389469879,-0.739001807408121,"DOWN",NA
"GPALPP1",-0.478731426890367,4.60153667883758,11.6613342831715,0.00169916470527631,0.007423114445286,0.478731426890367,"No",NA
"MAGOHB",-0.30114866822363,3.07793064744886,11.7066754160011,0.00170221109516992,0.00743465131893253,0.30114866822363,"No",NA
"MED6",-0.335906592014931,3.56047841247027,11.6822164931282,0.00170572263335665,0.0074482138142117,0.335906592014931,"No",NA
"POC5",-0.381294963104869,3.03904963450655,11.6970548762078,0.00170797633495769,0.00745627868447475,0.381294963104869,"No",NA
"VSIG8",0.764762344352907,1.75527009211164,10.883686377247,0.00171125385901552,0.00746880821181273,-0.764762344352907,"DOWN",NA
"PLXNA3",-0.768348753936779,4.73915191939287,11.639758611052,0.00171334155017513,0.00747575495853799,0.768348753936779,"UP",NA
"SPOP",-0.290218487358434,5.34806199754104,11.6343631870282,0.00171366113882367,0.00747575495853799,0.290218487358434,"No",NA
"CAVIN2",-0.685921335084796,4.84669904311585,11.6294280535462,0.00171942465874175,0.00749911335222341,0.685921335084796,"UP",NA
"IL23A",-0.452514618251949,1.46527414390318,10.5501185318388,0.00172074326515433,0.00750165469496369,0.452514618251949,"No",NA
"EPHA2-AS1",-1.00980032634148,1.69896070848764,10.759361406608,0.0017208258137757,0.00750165469496369,1.00980032634148,"UP",NA
"SHBG",0.848763801172738,2.756072879671,11.6177585839461,0.0017251623637716,0.00751704930303438,-0.848763801172738,"DOWN",NA
"KIF20A",-0.548844551075958,1.9175150701578,11.0965097990033,0.0017251773726401,0.00751704930303438,0.548844551075958,"No",NA
"SPATA5",-0.483830340237327,3.06039991354953,11.661859591832,0.0017306933819535,0.0075392919164899,0.483830340237327,"No",NA
"MRPL42",-0.325485915308343,5.646736917578,11.6068080064467,0.00173199096235624,0.00754278904407272,0.325485915308343,"No",NA
"GPN2",-0.292711545305147,5.0228361727275,11.608570883265,0.00173231912473657,0.00754278904407272,0.292711545305147,"No",NA
"RDH16",-0.441601044901679,1.56596193542745,10.6452554564774,0.00173316941031101,0.00754469923068418,0.441601044901679,"No",NA
"PSMB2",-0.245413736833151,5.7676833918647,11.6035447644392,0.00173407150582831,0.00754551041840916,0.245413736833151,"No",NA
"NEO1",-0.369409227657135,6.30944279047909,11.602691109244,0.00173417900784233,0.00754551041840916,0.369409227657135,"No",NA
"ITGAV",-0.644812575412597,7.06299433730476,11.5997378664263,0.00173603699659846,0.00755180213209451,0.644812575412597,"UP",NA
"COQ10B",-0.265332856685579,4.72681285891363,11.6044379375236,0.0017367165194645,0.00755296572201749,0.265332856685579,"No",NA
"CCAR1",-0.528487999934584,5.86396935122717,11.5953547204837,0.00173965572440852,0.00756395376758361,0.528487999934584,"No",NA
"ENAH",-0.677993928196712,5.23761033195572,11.596659300072,0.0017400978055407,0.00756408178168523,0.677993928196712,"UP",NA
"TUFM",0.317389651656931,7.62863793538655,11.5915816532399,0.00174161416487791,0.00756887843916003,-0.317389651656931,"No",NA
"HNRNPUL2",-0.327527303895436,6.49946706634307,11.5890134523299,0.00174361681453532,0.00757578569026949,0.327527303895436,"No",NA
"NR3C1",-0.506122649996514,5.69513626317867,11.5886951335465,0.00174449333865315,0.00757779795991725,0.506122649996514,"No",NA
"RRP8",-0.211153745045488,4.43781224436819,11.5916518479373,0.00174802886588765,0.00759135682079755,0.211153745045488,"No",NA
"RMDN2",-0.731397366531161,4.81870214454734,11.5852768421568,0.00175013344722202,0.00759869640479082,0.731397366531161,"UP",NA
"EIF4A3",-0.284236087737573,5.43782085472399,11.5787284497153,0.00175178398580318,0.00760369123992309,0.284236087737573,"No",NA
"GOLPH3L",-0.308781826596721,4.93070869760527,11.5805866348507,0.00175211345793656,0.00760369123992309,0.308781826596721,"No",NA
"CCDC122",-0.520024633984534,2.41265384292815,11.4916946852959,0.0017536398917216,0.00760776090432548,0.520024633984534,"No",NA
"LINC00673",-0.844795749210161,1.33038164916813,10.5071830050078,0.00175388127116248,0.00760776090432548,0.844795749210161,"UP",NA
"LOC102723458",-0.519654802080638,2.24471652375504,11.3831230959864,0.00175510716971616,0.00761127739012704,0.519654802080638,"No",NA
"NOTCH2NLB",-0.557835074421284,3.02051387599398,11.6228390897556,0.00175583579188183,0.00761263621120761,0.557835074421284,"No",NA
"CNOT6",-0.462843549892584,5.0338010121548,11.573307844603,0.00175686934608501,0.00761531614639023,0.462843549892584,"No",NA
"USP45",-0.459225993252933,4.18750235857021,11.5839015529118,0.00175742952014314,0.00761594338859194,0.459225993252933,"No",NA
"C17orf97",0.458004671555311,3.052804561809,11.6211903255413,0.00175866738706375,0.00761950646945536,-0.458004671555311,"No",NA
"CCT2",-0.253098364387328,6.49934715047439,11.565312660427,0.00176004505676725,0.00762367342523642,0.253098364387328,"No",NA
"GTF2B",-0.247602328057944,4.26249624638503,11.571768072279,0.00176416978365138,0.00763826301942109,0.247602328057944,"No",NA
"RNASEH1",-0.365822990410418,5.0168704548796,11.5627561251077,0.00176424666544263,0.00763826301942109,0.365822990410418,"No",NA
"RARS2",-0.221937485470569,4.8190095360147,11.5598616690087,0.00176714273164991,0.00764899490292198,0.221937485470569,"No",NA
"PRKAR1A",-0.407015057464942,7.46434464531314,11.5536331267285,0.00176812150416216,0.00765142476222769,0.407015057464942,"No",NA
"ZBTB9",-0.333373424114588,3.46128959576566,11.5952156831354,0.00176879626312821,0.0076525381872559,0.333373424114588,"No",NA
"ZBTB10",-0.469768183623136,4.74118547369445,11.5518643816706,0.0017735610675739,0.00767134212593138,0.469768183623136,"No",NA
"PCDHGB2",-0.579264152780547,2.4437871888971,11.471925994862,0.0017743041453039,0.00767274576257744,0.579264152780547,"No",NA
"ELOA",-0.394921379904788,5.18282667026412,11.543835128135,0.00177697481120006,0.00768248237361044,0.394921379904788,"No",NA
"SNIP1",-0.409722078194535,3.82254387769659,11.5605540723971,0.00178183189251043,0.00770166480113386,0.409722078194535,"No",NA
"SEC31A",-0.314419832516437,7.20591541197707,11.5280280125068,0.00178625481238805,0.00771896203816248,0.314419832516437,"No",NA
"USF1",-0.275665934580693,5.3571469599285,11.5230693104387,0.00179121034629327,0.00773855217013949,0.275665934580693,"No",NA
"CGGBP1",-0.483240478960961,6.38821820367458,11.5196996463567,0.00179242393947654,0.00774197060191905,0.483240478960961,"No",NA
"CEP120",-0.640091502846309,4.46322790701388,11.524430312045,0.00179605792132862,0.00775583928289162,0.640091502846309,"UP",NA
"HERC5",-0.4268102096357,3.679916371244,11.5415504478061,0.00179966237188971,0.00776957393761428,0.4268102096357,"No",NA
"SLC12A2",-0.446358480138039,4.46629453306077,11.5169548995751,0.00180082407706948,0.00777275869007784,0.446358480138039,"No",NA
"TIAL1",-0.420693159615675,5.95563455940939,11.4997168744138,0.0018070773848383,0.00779791326305813,0.420693159615675,"No",NA
"LINC01023",0.444276311594263,1.76026371636884,10.8068103169305,0.00180802572863954,0.00780016936495443,-0.444276311594263,"No",NA
"MEF2D",-0.471399533630657,5.65767453532508,11.4972061675857,0.00180926882819388,0.00780369573873459,0.471399533630657,"No",NA
"HNRNPH3",-0.436926006083595,6.81161724559216,11.4861636867171,0.00181638562544271,0.00783254878851806,0.436926006083595,"No",NA
"SSH2",-0.479831808880558,4.93375979399034,11.4825236979649,0.00182205358884038,0.00785514213006421,0.479831808880558,"No",NA
"EBP",0.491041279458958,5.49157631756208,11.4785742264941,0.00182306848847105,0.00785766951849583,-0.491041279458958,"No",NA
"RRN3P2",-0.677515133999828,2.20708811865259,11.2367825538616,0.00182460732769818,0.00786210157016383,0.677515133999828,"UP",NA
"HNRNPA1",-0.280335961965664,8.68015133491573,11.4738764943345,0.00182514707767921,0.00786210157016383,0.280335961965664,"No",NA
"EPHX2",0.453954978449544,7.70095046088885,11.4736725533378,0.00182538346422002,0.00786210157016383,-0.453954978449544,"No",NA
"S100PBP",-0.526704536338389,4.62487442964352,11.4790336999669,0.00182680038448569,0.00786635608362868,0.526704536338389,"No",NA
"BEAN1",-0.612909131311837,1.69188478833032,10.6708047454353,0.00183016736297241,0.00787900374134505,0.612909131311837,"UP",NA
"ESRRA",0.279308822208838,6.25943588514654,11.46632411371,0.0018309800199987,0.00788065150190094,-0.279308822208838,"No",NA
"USP31",-0.455732439179997,4.46485379201777,11.4734200952331,0.00183236415429483,0.00788475758506538,0.455732439179997,"No",NA
"ZNF341",-0.477394948897147,2.66883754993192,11.4770255610656,0.00183364285299221,0.00788840815259335,0.477394948897147,"No",NA
"CETP",0.62928486063776,2.90350198367856,11.5001161126109,0.00183582326864247,0.00789593532085527,-0.62928486063776,"DOWN",NA
"TMEM45A",-0.828255568544295,2.08940601951879,11.0871427982859,0.00183722868746577,0.0078984681379829,0.828255568544295,"UP",NA
"MSL2",-0.590166822482237,4.6165685446807,11.464836473992,0.00183742122233266,0.0078984681379829,0.590166822482237,"No",NA
"TMEM169",-0.576539009669493,2.53926151509624,11.4255034359511,0.00183770479561928,0.0078984681379829,0.576539009669493,"No",NA
"CNIH4",-0.228854118331261,5.11233606980511,11.4584355283587,0.00183866478360217,0.00789935781287793,0.228854118331261,"No",NA
"CREBRF",-0.510645775520174,5.22052721964495,11.4580321909328,0.0018387736505128,0.00789935781287793,0.510645775520174,"No",NA
"MPDU1",0.283815202960789,5.98322962583847,11.4535501070366,0.00184059754736044,0.00790534059059611,-0.283815202960789,"No",NA
"ZNF512",-0.552039537686232,5.06585486078686,11.4535952423767,0.00184265781023916,0.00791233551639588,0.552039537686232,"No",NA
"PPRC1",-0.540831443528399,4.60845284518926,11.4547431722726,0.00184477904282208,0.00791958890725329,0.540831443528399,"No",NA
"NDEL1",-0.378514349623155,4.4235678139506,11.4552033688968,0.00184603098278924,0.00792310792449299,0.378514349623155,"No",NA
"ATG16L1",-0.330652846913052,4.56992992629571,11.4473335310351,0.00185014776076659,0.00793891821222202,0.330652846913052,"No",NA
"C7",-0.73874932666734,9.98217087712032,11.4391825059131,0.00185060290738898,0.00793901284702723,0.73874932666734,"UP",NA
"SULF1",-0.766884350927471,4.72331197931432,11.4453482458707,0.00185129844162694,0.0079401384495703,0.766884350927471,"UP",NA
"TASOR",-0.526399310936505,5.73684881109777,11.4385911591976,0.0018519373563791,0.0079410207438094,0.526399310936505,"No",NA
"SPRY3",-0.539044383534175,2.31483074594001,11.2960268975785,0.00185373928556925,0.00794650747728882,0.539044383534175,"No",NA
"ZNF595",-0.419234261903725,2.7788232268867,11.471850005836,0.00185411770917036,0.00794650747728882,0.419234261903725,"No",NA
"ECPAS",-0.313651600711375,6.4764017847489,11.4343335282094,0.00185451742882775,0.00794650747728882,0.313651600711375,"No",NA
"C2CD2",-0.684381550606951,5.04421948534166,11.4321306678799,0.00185879512360885,0.00796297579127688,0.684381550606951,"UP",NA
"MLEC",-0.251355277114517,8.09543810958728,11.4233839616293,0.00186232809820366,0.00797624681499327,0.251355277114517,"No",NA
"CCL22",-1.38173773996379,1.39278771735327,10.4872116638429,0.00186496328683096,0.00798566736998326,1.38173773996379,"UP",NA
"MFSD8",-0.353761461665675,4.66992309566293,11.4253728135464,0.00186564049004888,0.00798582835553924,0.353761461665675,"No",NA
"C18orf25",-0.499275822069491,4.37968017356774,11.4295755986065,0.00186587217537366,0.00798582835553924,0.499275822069491,"No",NA
"UBTD2",-0.396945690474756,4.75838402702737,11.4186784864854,0.00187003910857551,0.00800179432756713,0.396945690474756,"No",NA
"DDX23",-0.327842758179822,6.09671951554261,11.4092146088447,0.00187344968610497,0.00801451719859749,0.327842758179822,"No",NA
"LOC112268415",-0.353258553358011,3.088279038543,11.4610614294746,0.00187512879159519,0.00801982871645625,0.353258553358011,"No",NA
"TRPT1",0.351995816392655,4.84305102793933,11.4076483645585,0.00187767721426408,0.00802885491361673,-0.351995816392655,"No",NA
"SYT15",-1.06340089094731,2.72755199115193,11.3717187157888,0.00188036026687414,0.0080384524375163,1.06340089094731,"UP",NA
"CHAC2",-0.328197887947934,1.98153200985869,10.9927610898595,0.00188235276340638,0.0080450940792731,0.328197887947934,"No",NA
"PGM2L1",-0.85416985269624,2.97934730324734,11.4319041851138,0.00188338525796448,0.0080454813448882,0.85416985269624,"UP",NA
"CEP126",-0.583984665171907,3.14592936929907,11.4462668697386,0.00188349835799648,0.0080454813448882,0.583984665171907,"No",NA
"LOC100129203",-0.539021121500048,1.69697714388778,10.6215385687974,0.00188411287251151,0.0080454813448882,0.539021121500048,"No",NA
"OLIG1",0.679667805849496,1.92383755459788,10.8833378605329,0.00188419897515711,0.0080454813448882,-0.679667805849496,"DOWN",NA
"ERH",-0.312799086141144,5.3911996042382,11.3952355029725,0.00188490869120135,0.00804663745188914,0.312799086141144,"No",NA
"SETD6",-0.244864051043009,5.17401462233483,11.3931088372421,0.00188707548006048,0.00805401178695893,0.244864051043009,"No",NA
"WDR33",-0.277355093829189,6.06390040868132,11.3885820755627,0.00188897831223139,0.00806025638768939,0.277355093829189,"No",NA
"TMEM123",-0.622404972089397,7.13779112815738,11.3832031869372,0.00189264148773629,0.00807284070800117,0.622404972089397,"UP",NA
"GAPVD1",-0.364504829354559,5.31341213274029,11.3850606200637,0.00189280832267683,0.00807284070800117,0.364504829354559,"No",NA
"KIAA1143",-0.469381660823493,4.7887440467941,11.3870934706743,0.00189368627705065,0.00807470647699823,0.469381660823493,"No",NA
"MDM1",-0.325730433187492,3.92320913847734,11.4009564438881,0.00189550005966902,0.00808056083576576,0.325730433187492,"No",NA
"VPS54",-0.345042828192723,5.26531767415369,11.3801840708207,0.00189662311652006,0.00808346857682613,0.345042828192723,"No",NA
"CHODL",-1.06397208745255,2.90867607753044,11.3833522950166,0.00190204221177464,0.00810468056346837,1.06397208745255,"UP",NA
"EBLN3P",-0.493444717597055,5.90773910621041,11.3652962165134,0.00190683206706405,0.00812320209652593,0.493444717597055,"No",NA
"TMEM214",-0.222712646218255,6.15395290963902,11.3641479312672,0.00190741877548035,0.00812381356257673,0.222712646218255,"No",NA
"GABPB1-IT1",-0.453703763750937,3.78155859436678,11.3885797124354,0.0019093780201471,0.00813026910274484,0.453703763750937,"No",NA
"VIPAS39",-0.275081225254358,4.34164029731329,11.3664702662628,0.00191344613456036,0.00814569927836182,0.275081225254358,"No",NA
"DPY19L1P1",-0.451688605470212,2.28394077483721,11.2070086770987,0.0019142462669973,0.00814721344795159,0.451688605470212,"No",NA
"TMPO",-0.596352965266701,5.49611714358368,11.3549546392825,0.00191544390036135,0.00814887671218901,0.596352965266701,"No",NA
"BFAR",-0.236026423773616,5.08763226632435,11.3560906199778,0.00191552614439051,0.00814887671218901,0.236026423773616,"No",NA
"GRHPR",0.542347139759301,7.56540189956321,11.3469203843701,0.00192026736025218,0.00816452924560218,-0.542347139759301,"No",NA
"C16orf95",0.449758002941329,2.07143159711629,11.0277640913579,0.00192030122262439,0.00816452924560218,-0.449758002941329,"No",NA
"PDE3B",-0.563271079118311,3.57940011825794,11.3831688275785,0.00192054171114705,0.00816452924560218,0.563271079118311,"No",NA
"SLC43A3",-0.870374818055907,4.03307229796657,11.3621079935027,0.00192541064385453,0.0081833300515876,0.870374818055907,"UP",NA
"SNORA86",-0.636062055550256,3.46613957280487,11.3799770045064,0.00192686129135142,0.00818759720254122,0.636062055550256,"UP",NA
"SEC24A",-0.465040654019622,4.70566775962126,11.343410302882,0.00192766723898912,0.0081891235591911,0.465040654019622,"No",NA
"JUND",-0.509756682500298,5.21465281009324,11.3383048516983,0.00192894348769075,0.00819264668045855,0.509756682500298,"No",NA
"AP5M1",-0.285198333985279,5.80239914346295,11.3353652500031,0.00192991541586831,0.00819487595281028,0.285198333985279,"No",NA
"COMMD2",-0.466319822202365,4.62601310379578,11.3386463483149,0.00193199658381752,0.00820160334834505,0.466319822202365,"No",NA
"IGLV6-57",-1.66993408636035,1.74058127217074,10.4485676630722,0.0019323945699363,0.00820160334834505,1.66993408636035,"UP",NA
"SLX1B",-0.336534609873963,3.08456154004226,11.3806728628539,0.0019360701366739,0.0082116133134956,0.336534609873963,"No",NA
"RNF182",-0.972505684445366,2.22649329940981,11.053251287194,0.00193620589467403,0.0082116133134956,0.972505684445366,"UP",NA
"XYLT1",-0.8861402776558,3.16367656971686,11.3699163085054,0.00193654284050755,0.0082116133134956,0.8861402776558,"UP",NA
"BMPR2",-0.602809986871471,6.13528176190926,11.3264137536425,0.00193654488867173,0.0082116133134956,0.602809986871471,"UP",NA
"NOPCHAP1",-0.384510492875578,3.23371029390613,11.3739031867446,0.0019385112721276,0.0082180504462005,0.384510492875578,"No",NA
"ZNF268",-0.324494128974362,4.60064584291041,11.3288311389356,0.00193959641165029,0.00822074955421076,0.324494128974362,"No",NA
"FAM172A",-0.393462446899903,4.8740897926838,11.3220477665545,0.00194296358378018,0.00823311730334592,0.393462446899903,"No",NA
"NRIP1",-0.440140268870709,5.52179679796,11.3172014854426,0.00194448456373854,0.00823765808594665,0.440140268870709,"No",NA
"C11orf42",-0.4553190023279,3.00689129012262,11.3635559102588,0.00194742633859905,0.00824821446692678,0.4553190023279,"No",NA
"TIRAP-AS1",-0.40613355073988,2.66350862008534,11.3249900032832,0.00195053913032859,0.00825949013584046,0.40613355073988,"No",NA
"ZNF12",-0.5393616062556,4.65934009993048,11.3131313527807,0.00195169227473226,0.00826246445453048,0.5393616062556,"No",NA
"LOC105371480",-0.724315136268213,1.87387493040135,10.7334389900743,0.0019526260516828,0.00826450892482047,0.724315136268213,"UP",NA
"MBP",-0.557991381310538,5.63013520387075,11.2985668623508,0.00195891262649796,0.00828807443197731,0.557991381310538,"No",NA
"CD99P1",-0.46608999743577,2.19087831708062,11.0814516580328,0.00195909805868516,0.00828807443197731,0.46608999743577,"No",NA
"GM2A",-0.386675983080087,5.17125182195689,11.2982358614275,0.00196020875950847,0.00828970749611985,0.386675983080087,"No",NA
"ICAM3",-0.491897932459587,4.02331707119975,11.3137862768402,0.00196079038644874,0.00828970749611985,0.491897932459587,"No",NA
"MPC1",0.476273734874832,6.83085201276793,11.2948326609772,0.00196084074535899,0.00828970749611985,-0.476273734874832,"No",NA
"CYP27C1",-0.724785017503139,1.56416557546543,10.3584465563941,0.00196570516619555,0.00830835632961276,0.724785017503139,"UP",NA
"OGT",-0.568543629663682,7.48368564555336,11.2871913938126,0.00196679594899347,0.0083094322649887,0.568543629663682,"No",NA
"PRNCR1",-0.709680817672113,2.33564881438462,11.1416418798519,0.00196686632468419,0.0083094322649887,0.709680817672113,"UP",NA
"JMJD8",0.316883579759614,6.27314197251781,11.2862862993702,0.00196774996250697,0.00831023034903056,-0.316883579759614,"No",NA
"TXNDC9",-0.316543218672435,4.58485641175113,11.2927508041662,0.00196796191943384,0.00831023034903056,0.316543218672435,"No",NA
"TAF2",-0.425351974021316,4.67315535150201,11.2895372488492,0.00196990457560097,0.00831651791233103,0.425351974021316,"No",NA
"BMT2",-0.501323309069315,3.52725313026743,11.3206555033818,0.00197055533726872,0.00831734973232165,0.501323309069315,"No",NA
"ZBED5",-0.371149982097434,5.38947283739046,11.2784034258302,0.00197523090617788,0.00833516522586251,0.371149982097434,"No",NA
"EMILIN1",-0.665478814794056,5.91504421857763,11.2742743649069,0.00197773305090185,0.00834380311992678,0.665478814794056,"UP",NA
"TES",-0.793419307838921,5.18198682642284,11.2729142909893,0.00198064183511139,0.00835415220419397,0.793419307838921,"UP",NA
"ZNF562",-0.570438613021149,4.51640401389774,11.2771219361734,0.00198162422836109,0.00835637306880311,0.570438613021149,"No",NA
"N4BP2L2-IT2",-0.744842223067527,2.513079959445,11.2032710188875,0.00198677034107256,0.00837528150010095,0.744842223067527,"UP",NA
"TMEM30A",-0.531752974254008,7.34475166897514,11.2617004462153,0.00198702194337129,0.00837528150010095,0.531752974254008,"No",NA
