"","logFC","logCPM","F","PValue","FDR","neglogFC","DE","top30"
"FCGR1CP",-2.01792121655182,1.79833317033398,90.654236296449,6.03813929145149e-14,2.45966958559105e-11,2.01792121655182,"UP",NA
"NCF1B",-1.84057395641554,2.21346902030184,110.143086874414,6.59432350430472e-14,2.62783791646543e-11,1.84057395641554,"UP",NA
"DAPP1",-2.43740198892429,2.40974850407677,105.536116970206,7.16378302154373e-14,2.79402779931741e-11,2.43740198892429,"UP",NA
"SLAMF1",-2.15024676647183,2.05689941186982,95.3006040215504,8.54628614672196e-14,3.12398002097817e-11,2.15024676647183,"UP",NA
"LOC606724",-1.81453778211862,1.82174816668612,90.7264681980827,8.60863318214256e-14,3.12398002097817e-11,1.81453778211862,"UP",NA
"WARS1",-1.41011919694326,7.3880100726895,147.467526628375,8.69144590119047e-14,3.12398002097817e-11,1.41011919694326,"UP",NA
"FCRL3",-3.30210536412235,2.45141238074653,90.9590578824942,8.69145060661648e-14,3.12398002097817e-11,3.30210536412235,"UP",NA
"CTSS",-2.41240265852136,5.84572476901937,147.089136664012,9.3784515300492e-14,3.30608451917946e-11,2.41240265852136,"UP",NA
"DHRS9",-2.23523081145883,1.81411531678163,88.4064389590072,9.64219019959396e-14,3.33492431224069e-11,2.23523081145883,"UP",NA
"GRAP2",-2.27469166414256,2.23755619676897,99.6673243595404,9.86150408856684e-14,3.34761539717627e-11,2.27469166414256,"UP",NA
"TNF",-1.90378079857809,1.95957210922261,93.7977863171551,1.06560830669852e-13,3.5482783636509e-11,1.90378079857809,"UP",NA
"NR4A3",-1.86541848814701,1.77834580969488,88.0865151900032,1.08586323255949e-13,3.5482783636509e-11,1.86541848814701,"UP",NA
"CD8B",-2.22874799315684,2.09762054709914,94.2577843329153,1.11305047626481e-13,3.5482783636509e-11,2.22874799315684,"UP",NA
"TASL",-1.63988822318686,1.92014354975512,95.3112075045005,1.14173577823129e-13,3.5482783636509e-11,1.63988822318686,"UP",NA
"TNFRSF9",-2.61269711244577,1.82396903966344,90.2639179818815,1.14204584286402e-13,3.5482783636509e-11,2.61269711244577,"UP",NA
"CYSLTR1",-1.55451022851745,2.1539447197367,108.534897595608,1.26519187650928e-13,3.84865122902636e-11,1.55451022851745,"UP",NA
"ZBP1",-2.2078049420797,1.96465909498749,89.5160657554345,1.29562612014041e-13,3.84865122902636e-11,2.2078049420797,"UP",NA
"CEACAM21",-1.79687930447026,1.79662638721053,88.096866317026,1.30332350173702e-13,3.84865122902636e-11,1.79687930447026,"UP",NA
"CXCL11",-3.80456839246355,3.87076040251595,121.630496463118,1.32270485750183e-13,3.84865122902636e-11,3.80456839246355,"UP",NA
"GBP1P1",-1.56843704715511,2.11528601130963,105.529331099348,1.39187367621273e-13,3.98663068103992e-11,1.56843704715511,"UP",NA
"CD300LF",-2.05090036441577,1.79787473253585,86.1931290527325,1.53963008310334e-13,4.34199370051806e-11,2.05090036441577,"UP",NA
"HLA-DRA",-1.72308762341411,8.97760979517468,139.712700522675,1.81127557536571e-13,5.03068069273165e-11,1.72308762341411,"UP",NA
"SIGLEC10",-2.46014856172546,2.55669648865424,104.004334811976,2.23596083528389e-13,6.11752210023717e-11,2.46014856172546,"UP",NA
"GFI1",-2.08365509035818,1.93870596917621,87.1678085335487,2.30497606817089e-13,6.21360533906478e-11,2.08365509035818,"UP",NA
"GBP1",-2.21931381684308,5.99731248169343,136.982960483237,2.42572069280546e-13,6.35721912074908e-11,2.21931381684308,"UP",NA
"LAX1",-2.32446548092715,2.19181452957599,92.0475611747103,2.42761081475334e-13,6.35721912074908e-11,2.32446548092715,"UP",NA
"CGAS",-1.5588868825308,2.17749354930935,105.05587470698,2.53440000445693e-13,6.54339246221125e-11,1.5588868825308,"UP",NA
"CD3G",-2.56621284810769,1.75259864733137,87.628695603006,2.87975055900676e-13,7.33176493016012e-11,2.56621284810769,"UP",NA
"PATL2",-1.79408069261032,2.38887587568266,109.080758352693,3.1153760560196e-13,7.82300801135551e-11,1.79408069261032,"UP",NA
"KLRK1",-2.54471059248311,2.39288773507956,93.6133610138871,3.33463156090862e-13,8.18338401334561e-11,2.54471059248311,"UP",NA
"KCNA3",-2.69318234733067,2.66806200794408,100.510963502271,3.34817413671333e-13,8.18338401334561e-11,2.69318234733067,"UP",NA
"RELT",-1.44288539176258,2.49448914219783,119.306342805845,3.46085398459439e-13,8.34748873573682e-11,1.44288539176258,"UP",NA
"IDO1",-3.30694780174557,3.84281337947235,122.749808084956,3.94054198238466e-13,9.38104871157054e-11,3.30694780174557,"UP",NA
"TRDC",-1.91510759971962,2.27978949193979,99.2390876507787,4.63677291408146e-13,1.08970108061573e-10,1.91510759971962,"UP",NA
"ST8SIA4",-1.97913809083114,2.88061895458313,119.489615118929,5.07534320251386e-13,1.17767235753521e-10,1.97913809083114,"UP",NA
"FPR3",-1.99375274248361,3.39953194072949,128.914982086294,5.20909807236579e-13,1.19359970955672e-10,1.99375274248361,"UP",NA
"TARP",-1.88376020546452,2.17153843260065,94.2163872403847,5.43488776299632e-13,1.22996206893192e-10,1.88376020546452,"UP",NA
"BTK",-2.16557928982419,2.67703913891316,108.679827423756,5.60343969957458e-13,1.24929280449877e-10,2.16557928982419,"UP",NA
"PLEK",-2.37136726228935,4.2730346703197,130.61274918121,5.65660917426205e-13,1.24929280449877e-10,2.37136726228935,"UP",NA
"CCL4L2",-2.49649318696968,1.81780063760675,81.314597740302,5.97398422650344e-13,1.3036798197147e-10,2.49649318696968,"UP",NA
"CASP1",-1.68641098620676,4.15740634433381,129.453633575989,6.18124690960985e-13,1.33304043647127e-10,1.68641098620676,"UP",NA
"CD69",-2.45924191392118,2.19739639329641,85.1573976502236,6.59780197224145e-13,1.40632916224602e-10,2.45924191392118,"UP",NA
"CD86",-2.17367766581337,2.87204299124284,113.548730278385,6.71358694576417e-13,1.41456048623911e-10,2.17367766581337,"UP",NA
"TNFAIP8L2",-1.64991180060114,2.27132686601276,100.91204808081,7.18655986816417e-13,1.49700941981042e-10,1.64991180060114,"UP",NA
"KLRC4-KLRK1",-2.53471691255212,2.45360557234105,91.5142056317462,7.30079492698112e-13,1.50371766074709e-10,2.53471691255212,"UP",NA
"IL1B",-2.08363509911942,1.72889994447026,78.6353004335367,7.73855727299287e-13,1.57617214856925e-10,2.08363509911942,"UP",NA
"THEMIS2",-2.06296893638657,3.57957131217433,125.443849637856,8.43344702796395e-13,1.69882986230338e-10,2.06296893638657,"UP",NA
"PRR11",-1.17860568242256,2.09807413308605,98.1138859453119,1.01717422676502e-12,2.0267196468293e-10,1.17860568242256,"UP",NA
"GPR174",-2.63534959598271,2.37015293957386,85.1630194836057,1.0703043559353e-12,2.09866732898289e-10,2.63534959598271,"UP",NA
"AATBC",-1.8136727899522,1.69824436791703,76.6836397470133,1.07618094443506e-12,2.09866732898289e-10,1.8136727899522,"UP",NA
"BTN3A2",-1.42119854602646,5.70718598437697,122.024553506533,1.1248681299328e-12,2.17052186208402e-10,1.42119854602646,"UP",NA
"C5orf58",-1.70605669911849,1.62489079658403,75.7896477303629,1.14142982491811e-12,2.17953647089312e-10,1.70605669911849,"UP",NA
